ad_condition,dual_response,purchased_203,purchased_303,pages_opened,clicked_203,clicked_303,session_duration,num_unique,num_unique_nonad,opened_second_page,genre_rank_purchased,ad_type
5,0,0,0,4,0,0,1.1666666,1,1,1,1,2ad
1,1,0,0,2,0,0,2.0333333,1,1,1,2,3ad
3,0,0,0,10,0,0,4.4333334,1,1,1,1,4ad
4,1,0,0,17,0,0,9.9499998,7,7,1,,3ad
2,1,0,0,1,0,0,2.2833333,1,1,0,2,2ad
3,1,0,0,1,0,0,3.2833333,1,1,0,3,4ad
2,1,0,0,1,0,0,.98333335,1,1,0,2,2ad
3,1,0,0,11,0,0,7.3333335,4,4,1,4,4ad
6,0,0,0,1,0,0,1.7333333,1,1,0,1,4ad
6,0,0,0,1,0,0,1.8,1,1,0,1,4ad
4,0,0,0,10,0,0,4.2833333,2,2,1,2,3ad
1,0,0,0,1,0,0,3.8666666,1,1,0,1,3ad
2,1,0,0,1,0,0,8.9333334,1,1,0,3,2ad
3,0,0,0,1,0,0,5.4000001,1,1,0,2,4ad
0,1,0,0,1,0,0,.96666664,1,1,0,5,1ad
6,1,0,0,11,0,0,3.7333333,6,6,1,4,4ad
1,1,0,0,1,0,0,.66666669,1,1,0,5,3ad
6,0,0,0,10,1,1,5.9833331,9,7,1,2,4ad
4,1,0,0,1,0,0,3.6333334,1,1,0,4,3ad
6,0,0,0,1,0,0,.73333335,1,1,0,4,4ad
0,1,0,0,1,0,0,1.85,1,1,0,4,1ad
6,0,0,0,10,0,0,6.25,1,1,1,1,4ad
6,0,0,0,1,0,0,.60000002,1,1,0,2,4ad
5,1,0,0,1,0,0,2.5666666,1,1,0,2,2ad
6,1,0,0,1,0,0,2.55,1,1,0,1,4ad
1,1,0,0,1,0,0,.68333334,1,1,0,3,3ad
4,1,0,0,1,0,0,1.0333333,1,1,0,2,3ad
2,0,0,0,1,0,0,1.3166667,1,1,0,1,2ad
1,1,0,0,1,0,0,1.3833333,1,1,0,1,3ad
2,1,0,0,1,0,0,3.3166666,1,1,0,3,2ad
2,1,0,0,1,0,0,.96666664,1,1,0,2,2ad
0,0,0,0,12,0,0,7.0666666,4,4,1,1,1ad
4,1,0,0,1,0,0,1.0666667,1,1,0,1,3ad
3,1,0,0,1,0,0,3.7,1,1,0,4,4ad
0,1,0,0,3,0,0,3.4833333,1,1,1,2,1ad
1,1,0,0,10,0,0,3.5999999,1,1,1,1,3ad
4,0,0,0,1,0,0,2.2333333,1,1,0,3,3ad
1,1,0,0,1,0,0,7.1833334,1,1,0,4,3ad
5,1,0,0,1,0,0,1.0166667,1,1,0,3,2ad
1,0,0,0,1,0,0,19.616667,1,1,0,4,3ad
5,1,0,0,1,0,0,.98333335,1,1,0,4,2ad
2,1,0,0,1,0,0,7.0666666,3,3,0,4,2ad
5,0,0,0,1,0,0,.48333332,1,1,0,2,2ad
2,1,0,0,1,0,0,3.4000001,1,1,0,1,2ad
6,1,0,0,1,0,0,1.5,1,1,0,1,4ad
1,1,0,0,1,0,0,30.15,2,2,0,1,3ad
6,1,0,0,1,0,0,1.8,1,1,0,5,4ad
6,1,0,0,1,0,0,1.45,1,1,0,5,4ad
0,0,0,0,1,0,0,1.2333333,1,1,0,2,1ad
6,1,0,0,1,0,0,16.916666,2,2,0,2,4ad
1,1,0,0,1,0,0,.93333334,1,1,0,1,3ad
5,0,0,0,1,0,0,.51666665,1,1,0,3,2ad
5,1,0,0,1,0,0,2.3499999,1,1,0,2,2ad
5,0,0,0,1,0,0,2.8166666,1,1,0,1,2ad
6,1,0,0,4,1,0,5.1666665,4,3,1,1,4ad
2,1,0,0,2,0,0,4.1166668,1,1,1,1,2ad
4,1,0,0,1,0,0,1.8166667,1,1,0,2,3ad
3,1,0,0,1,0,0,5.1999998,1,1,0,1,4ad
6,0,0,0,1,0,0,1.4166666,1,1,0,1,4ad
2,1,0,0,6,0,1,6.8833332,6,5,1,2,2ad
6,1,0,0,1,0,0,1.9333333,1,1,0,5,4ad
6,0,0,0,10,0,0,5.9333334,1,1,1,1,4ad
1,1,0,0,1,0,0,4.3666668,2,2,0,1,3ad
5,1,0,0,1,0,0,12.4,3,3,0,2,2ad
5,1,0,0,1,0,0,1.2166667,1,1,0,2,2ad
4,0,0,0,5,0,0,5.4000001,1,1,1,2,3ad
4,1,0,0,1,0,0,.86666667,1,1,0,3,3ad
0,0,0,0,1,0,0,6.8666668,1,1,0,2,1ad
3,0,0,0,1,0,0,.85000002,1,1,0,1,4ad
3,1,0,0,1,0,0,1.4833333,1,1,0,2,4ad
2,1,0,0,1,0,0,2.9833333,1,1,0,2,2ad
5,1,0,0,1,0,0,1.75,1,1,0,2,2ad
5,1,0,0,1,0,0,.56666666,1,1,0,4,2ad
1,1,0,0,8,0,0,3.1333334,1,1,1,1,3ad
4,1,0,0,5,1,0,3.9000001,3,2,1,3,3ad
1,1,0,0,10,1,1,8.166667,11,9,1,5,3ad
1,1,0,0,1,0,0,7.6833334,2,2,0,2,3ad
1,0,0,0,1,0,0,3.0833333,2,2,0,5,3ad
4,1,0,0,1,0,1,1.7166667,2,1,0,3,3ad
0,1,0,0,1,0,0,.85000002,1,1,0,4,1ad
2,1,0,0,1,1,0,1.4333333,2,1,0,1,2ad
4,1,0,0,1,0,0,1.9833333,2,2,0,1,3ad
5,1,0,0,1,0,0,1.7833333,1,1,0,2,2ad
3,1,0,0,10,1,0,5.6166668,5,4,1,2,4ad
6,1,0,0,1,0,0,2.6333334,1,1,0,1,4ad
4,1,0,0,1,0,0,.89999998,1,1,0,3,3ad
2,0,0,0,1,0,0,.64999998,1,1,0,2,2ad
3,1,0,0,6,1,0,5.5666666,7,6,1,1,4ad
5,0,0,0,3,1,0,5.5500002,6,5,1,5,2ad
2,1,0,0,1,0,0,4.5500002,1,1,0,2,2ad
3,1,0,0,1,0,0,.88333333,1,1,0,4,4ad
6,1,0,0,1,0,0,1.6,1,1,0,5,4ad
3,1,0,0,1,0,0,1.6,1,1,0,2,4ad
4,1,0,0,1,0,0,1.3166667,1,1,0,2,3ad
2,1,0,0,1,0,0,1.2,1,1,0,5,2ad
1,1,0,0,1,0,0,.86666667,1,1,0,1,3ad
6,1,0,0,12,0,0,7.1500001,3,3,1,3,4ad
3,1,0,0,1,1,0,2.1500001,2,1,0,1,4ad
0,0,0,0,1,0,0,.98333335,1,1,0,4,1ad
4,0,0,0,1,0,0,.71666664,1,1,0,1,3ad
2,1,0,0,1,0,0,9.5166664,1,1,0,3,2ad
2,1,0,0,1,0,0,3.05,1,1,0,5,2ad
3,1,0,0,1,0,0,1.0333333,1,1,0,2,4ad
2,0,0,0,2,0,0,2.6666667,1,1,1,4,2ad
3,1,0,0,1,0,0,.61666667,1,1,0,5,4ad
1,1,0,0,1,0,0,.73333335,1,1,0,4,3ad
5,1,0,0,1,0,0,.61666667,1,1,0,3,2ad
3,1,0,0,1,0,0,.93333334,1,1,0,3,4ad
6,1,0,0,1,0,0,4.4166665,2,2,0,5,4ad
4,0,0,0,1,0,0,.69999999,1,1,0,2,3ad
6,1,0,0,1,0,0,2.8666666,1,1,0,3,4ad
2,1,0,0,1,0,0,3.3666666,2,2,0,2,2ad
2,1,0,0,5,0,0,2.9166667,1,1,1,2,2ad
6,1,0,0,1,0,1,7.9499998,3,2,0,4,4ad
5,1,0,0,1,0,0,1.05,1,1,0,1,2ad
6,1,0,0,1,0,0,1.35,1,1,0,2,4ad
4,0,0,0,6,0,0,2.5833333,1,1,1,1,3ad
4,1,0,0,1,0,0,2.3499999,1,1,0,4,3ad
6,0,0,0,1,0,0,1.1166667,1,1,0,2,4ad
6,1,0,0,1,0,0,1.0333333,1,1,0,5,4ad
3,1,0,0,1,0,0,.91666669,1,1,0,2,4ad
1,1,0,0,1,0,0,4.1833334,1,1,0,4,3ad
4,0,0,0,1,0,0,13.75,1,1,0,5,3ad
1,0,0,0,10,0,0,4.3833332,1,1,1,1,3ad
1,1,0,0,1,0,0,1.6333333,1,1,0,5,3ad
4,1,0,0,2,0,0,12.316667,5,5,1,5,3ad
6,1,0,0,1,0,0,6.0333333,1,1,0,5,4ad
4,1,0,0,1,0,0,.78333336,1,1,0,2,3ad
3,0,0,0,1,0,0,.81666666,1,1,0,3,4ad
4,1,0,0,1,0,0,2.2666667,2,2,0,2,3ad
2,0,0,0,1,0,0,2.8499999,1,1,0,2,2ad
1,0,0,0,5,1,0,6.3499999,5,4,1,3,3ad
5,1,0,0,1,0,0,3.6500001,1,1,0,4,2ad
4,1,0,0,1,0,1,6.2333331,2,1,0,3,3ad
3,0,0,0,1,0,0,.86666667,1,1,0,4,4ad
3,0,0,0,1,0,0,1.15,1,1,0,2,4ad
3,0,0,0,3,0,0,1.85,1,1,1,4,4ad
5,1,0,0,1,0,0,1.0166667,1,1,0,1,2ad
2,1,0,0,11,0,0,3.9833333,1,1,1,2,2ad
5,0,0,0,1,0,0,11.333333,1,1,0,1,2ad
6,1,0,0,1,0,1,1.0666667,1,0,0,4,4ad
5,0,0,0,2,0,0,3.5333333,1,1,1,1,2ad
1,0,0,0,1,0,0,.78333336,1,1,0,2,3ad
2,1,0,0,1,0,0,3.5,1,1,0,5,2ad
2,1,0,0,1,0,0,7.1833334,1,1,0,2,2ad
5,1,0,0,1,0,0,2.7,1,1,0,5,2ad
6,1,0,0,1,0,0,36.266666,2,2,0,3,4ad
4,1,0,0,1,0,0,1.1666666,1,1,0,5,3ad
4,1,0,0,1,0,0,.85000002,1,1,0,2,3ad
0,1,0,0,1,0,0,1.95,1,1,0,2,1ad
2,1,0,0,1,0,0,2.05,1,1,0,3,2ad
1,1,0,0,1,0,0,3.7666667,2,2,0,1,3ad
6,1,0,0,1,0,0,10.6,1,1,0,1,4ad
1,1,0,0,1,0,0,1.1,1,1,0,3,3ad
2,1,0,0,1,0,0,3.55,1,1,0,5,2ad
6,0,0,0,1,0,0,.93333334,1,1,0,3,4ad
5,1,0,0,1,0,0,1.1833333,2,2,0,2,2ad
2,1,0,0,1,0,0,1.8,1,1,0,2,2ad
3,1,0,0,5,0,0,3.5666666,1,1,1,2,4ad
4,1,0,0,1,0,0,1.5833334,1,1,0,1,3ad
1,0,0,0,1,0,0,2.2,1,1,0,1,3ad
3,1,0,0,1,0,0,1.3333334,2,2,0,3,4ad
1,0,0,0,1,0,0,.89999998,1,1,0,3,3ad
5,1,0,0,1,0,0,1.3833333,1,1,0,1,2ad
0,1,0,0,1,0,0,1.6333333,1,1,0,5,1ad
5,1,0,0,1,0,0,9.6499996,1,1,0,5,2ad
3,1,0,0,1,0,0,1.2166667,1,1,0,5,4ad
0,1,0,0,10,0,0,2.7166667,1,1,1,4,1ad
6,1,0,0,1,0,0,3.8333333,1,1,0,1,4ad
0,1,0,0,1,0,0,1.0166667,1,1,0,2,1ad
6,1,0,0,1,0,0,.96666664,1,1,0,4,4ad
2,1,0,0,2,0,0,2.0999999,3,3,1,2,2ad
4,1,0,0,5,0,0,2.0166667,1,1,1,3,3ad
0,1,0,0,1,0,0,2.5666666,1,1,0,2,1ad
6,1,0,0,1,0,0,2.7833333,1,1,0,3,4ad
2,1,0,0,10,1,0,4,5,4,1,2,2ad
1,1,0,0,1,0,0,1.7166667,1,1,0,3,3ad
2,1,0,0,1,0,0,1.55,1,1,0,1,2ad
2,1,0,0,2,0,0,4.5999999,2,2,1,2,2ad
1,1,0,0,1,1,0,2.1666667,2,1,0,4,3ad
1,1,0,0,5,1,0,13.4,3,3,1,4,3ad
2,0,0,0,1,0,0,.66666669,1,1,0,5,2ad
6,1,0,0,1,0,0,3.4166667,2,2,0,,4ad
6,0,0,0,1,0,0,1.4166666,1,1,0,3,4ad
0,0,0,0,1,0,0,5.25,1,1,0,4,1ad
6,0,0,0,1,0,0,.75,1,1,0,2,4ad
1,0,0,0,1,0,0,4.0833335,1,1,0,1,3ad
3,1,0,0,1,0,0,1.5333333,1,1,0,4,4ad
4,1,0,0,1,0,0,.85000002,1,1,0,3,3ad
3,0,0,0,3,0,0,1.8166667,1,1,1,1,4ad
5,0,0,0,1,0,0,.58333331,1,1,0,1,2ad
4,0,0,0,7,0,0,1.9166666,1,1,1,1,3ad
5,1,0,0,1,0,0,1.5666667,1,1,0,1,2ad
5,1,0,0,1,0,0,1.3166667,1,1,0,1,2ad
5,0,0,0,1,0,0,4.5500002,1,1,0,3,2ad
1,0,0,0,1,0,0,.78333336,1,1,0,3,3ad
1,1,0,0,1,0,0,7.6333332,1,1,0,2,3ad
1,0,0,0,10,0,0,7.6999998,1,1,1,1,3ad
5,1,0,0,1,0,0,1.0666667,1,1,0,1,2ad
2,1,0,0,6,0,0,4.0833335,1,1,1,2,2ad
3,1,0,0,1,0,0,.58333331,1,1,0,3,4ad
6,1,0,0,1,0,0,1.1166667,1,1,0,1,4ad
1,1,0,0,1,0,0,1.35,1,1,0,1,3ad
1,0,0,0,10,0,0,2.4166667,1,1,1,1,3ad
2,1,0,0,1,0,0,3.6500001,1,1,0,1,2ad
5,1,0,0,1,0,0,3.0333333,1,1,0,2,2ad
1,1,0,0,1,0,0,1.6666666,1,1,0,2,3ad
6,1,0,0,1,0,0,3.1333334,1,1,0,4,4ad
1,1,0,0,1,0,0,1.1666666,1,1,0,5,3ad
3,0,0,0,7,0,0,1.8666667,1,1,1,3,4ad
5,0,0,0,10,0,0,4.3833332,1,1,1,1,2ad
2,1,0,0,1,0,0,11.166667,1,1,0,4,2ad
