asin,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Tags,passed_price_check,position,Description,ID,Regular Price,author,Categories,Images
B09R9FSZB5,simple,lattes403,Legends And Lattes,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-83,"Worn out after decades of packing steel and raising hell, Viv the orc barbarian cashes out of the warrior's life with one final score. A forgotten legend, a fabled artifact, and an unreasonable amount of hope lead her to the streets of Thune, where she plans to open the first coffee shop the city has ever seen.\n\nHowever, her dreams of a fresh start pulling shots instead of swinging swords are hardly a sure bet. Old frenemies and Thune's shady underbelly may just upset her plans. To finally build something that will last, Viv will need some new partners and a different kind of resolve.\n\nA hot cup of fantasy slice-of-life with a dollop of romantic froth.",403,2.99,Travis Baldree,Fantasy,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/403.jpg
B08TQ85XT7,simple,ireland203,The Lost Girls Of Ireland,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-82,"The picturesque beach of Wild Rose Bay is the last place Lydia Butler thought she'd be. But having just lost everything, the run-down cottage she inherited from her Great Aunt Nellie is the only place she can take her daughter, Sunny. Hidden away in a tiny Irish village, she can protect Sunny from the gossip in Dublin, and the real reason they have nowhere else to live...\n\nThe cottage is part of the old coastguard station and other eccentric residents are quick to introduce themselves when Lydia arrives. Lydia instantly feels less alone, fascinated by the stories they have about Nellie, and she's charmed by American artist, Jason O'Callaghan, the mysterious man who lives next door.\n\nBut the longer Lydia relaxes under the moonlit sky, the more the secret she's keeping from Sunny threatens to come out. And as she finds herself running into Jason's arms, she knows she must be honest and face up to the past she has tried to forget. Has she finally found people who will truly accept her, or will the truth force her to leave the cottage for good?",203,0.99,Susanne O'Leary,Romance,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/03/the_lost_girls_of_ireland.jpg
B08FF8MTM6,simple,almanack104,The Almanack of Naval Ravikant,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-17,"Getting rich is not just about luck; happiness is not just a trait we are born with. These aspirations may seem out of reach, but building wealth and being happy are skills we can learn.\n\nSo what are these skills, and how do we learn them? What are the principles that should guide our efforts? What does progress really look like?\n\nNaval Ravikant is an entrepreneur, philosopher, and investor who has captivated the world with his principles for building wealth and creating long-term happiness. The Almanack of Naval Ravikant is a collection of Naval's wisdom and experience from the last ten years, shared as a curation of his most insightful interviews and poignant reflections. This isn't a how-to book, or a step-by-step gimmick. Instead, through Naval's own words, you will learn how to walk your own unique path toward a happier, wealthier life.",104,2.99,Eric Jorgenson,Biography/Memoir,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/104.jpg
B071NR4SJ3,simple,marriage204,Marriage With A Proper Stranger,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-17,"Riordan Wollstonecraft labors under the heavy burden of his forebears. For generations, a curse has followed the dashing young men of his family, guaranteeing the women they love an untimely death.  The youngest grandson of the Earl of Wollstonecraft Hall, charismatic Riordan is quietly resigned to his fate, an educator who devotes his life to good works, and ignores any longing for something more . . .\n \nWidowed and penniless, Lady Sabrina Lakeside is desperate to avoid a second forced betrothal-this time to an aged marquess. Her chance encounter with Riordan leads her to an impulsive offer: a temporary marriage of convenience that could benefit them both. His agreement is as surprising as it is welcome. Before long, Riordan's keen intellect and kind words have Sabrina rethinking her plans of a union in name only. But her new husband is holding something back. Will giving in to their tantalizing passion lead her only to further heartache . . . or could it be the first step toward healing them both?'",204,0.99,Karyn Gerrard,Romance,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/204.jpg
B09V2Z351J,simple,suitor304,The Perfect Suitor,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-17,"Three years after the tragic death of her wonderful husband, Charlene continues to mourn.\n\nAs she struggles to pick up the pieces of her shattered life, she meets Samuel. Handsome and educated, this charming man is the perfect suitor, and Charlene slowly lets her guard down and opens her heart to him.\n\nBut Samuel is not the man he appears to be. He has a dark compulsion. And an even darker secret.\n\nWhen he begins acting strangely, Charlene suspects something is wrong. Her fears only grow when she notices she is being followed. Unsure whether she can really trust Samuel, Charlene takes matters into her own hands and starts to investigate.\n\nWhat she finds is beyond her worst nightmares.\n\nWill Charlene find the strength to confront the shocking truth before her life is shattered all over again?'",304,0.99,Cole Baxter,Mystery/Thriller,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/304.jpg
B0101EUY1O,simple,stranger404,Dark Stranger The Dream,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-17,"Since the dawn of human civilization, two warring factions of the immortal descendants of gods have been secretly shaping its destiny. Leading the battle from his luxurious L.A. high-rise, Kian is surrounded by his clan, and yet he's alone.\nAs the descendants of a single goddess, clan members are forbidden to each other, and since the only other immortals are their sworn enemies, Kian and his kin have long been resigned to a lonely existence and eventual extinction. That is until his sister, a neuroscience professor and a researcher of paranormal abilities, makes a game-changing discovery.\n\nSyssi's premonitions are tricky. They foretell catastrophes, but when she gets a job as a research assistant, they fail to predict the thrilling yet terrifying turn her life is about to take. Turns out that her new boss is the immortal daughter of a goddess, and her boss's imposing brother is the mysterious stranger who's been starring in her dreams.",404,0.99,I. T. Lucas,Fantasy,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/404.jpg
B088HFXCMC,simple,claimed504,Claimed,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-17,"Recently jobless and homeless, now I've been kidnapped by aliens.\n\nI thought my day couldn't get any worse- until the disgusting Orkun warlords who abducted me tell me I'm meant to be a ""bride"" for their commander.\n\nNo! No freaking way.\n\nBut before I can figure out a way off this spaceship, I find myself caught in the middle of an uprising by their other captives: a breathtakingly masculine gladiator race called Kalixians.\n\nThe Kalixians look like gods, and their leader, Tordax, is the most stunning of all. He's strong and commanding, and I'm drawn to him in a way I can't understand-especially considering we don't even speak the same language.\n\nBut am I really safer now, or have I just traded one captor for another?\n\nWhat does this powerful alien want with me?\n\nAnd why does he keep looking at me like I'm his?""",504,0.99,Presley Hall,Science Fiction,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/504.jpg
B06Y153FW2,simple,ghost105,The Ghost,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-16,"CIA spymaster James Jesus Angleton was one of the most powerful unelected officials in the United States government in the mid-20th century, a ghost of American power. From World War II to the Cold War, Angleton operated beyond the view of the public, Congress, and even the president. He unwittingly shared intelligence secrets with Soviet spy Kim Philby, a member of the notorious Cambridge spy ring. He launched mass surveillance by opening the mail of hundreds of thousands of Americans. He abetted a scheme to aid Israel's own nuclear efforts, disregarding U.S. security. He committed perjury and obstructed the JFK assassination investigation. He oversaw a massive spying operation on the antiwar and black nationalist movements and he initiated an obsessive search for communist moles that nearly destroyed the Agency.\n\nIn The Ghost, investigative reporter Jefferson Morley tells Angleton's dramatic story, from his friendship with the poet Ezra Pound through the underground gay milieu of mid-century Washington to the Kennedy assassination to the Watergate scandal. From the agency's MKULTRA mind-control experiments to the wars of the Mideast, Angleton wielded far more power than anyone knew. Yet during his seemingly lawless reign in the CIA, he also proved himself to be a formidable adversary to our nation's enemies, acquiring a mythic stature within the CIA that continues to this day.",105,2.99,Jefferson Morley,Biography/Memoir,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/105.jpg
B09G6CLTTW,simple,night205,The One Night,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-16,"Recently divorced Cooper Chance knows he's officially in a rut when his parents take him barhopping in the hope of resuscitating his love life. At first, he's skeptical. How could a gritty dive bar possibly solve his problems? But then he runs into Nora McHale.\n\nNora isn't at the bar looking for love. She's there to unwind after yet another exhausting day at her bakery. And even if she were hoping to meet someone, it sure wouldn't be Cooper-her best friend's ex-husband.\n\nAccording to the unwritten rules of romance, Cooper and Nora are completely off limits to each other. But after a fun, flirty night at the bar, they can't ignore the wild attraction between them.\n\nIs this the beginning of something real, or will their passionate night together be their one and only?'",205,1.99,Meghan Quinn,Romance,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/205.jpg
B00AWU8WO4,simple,demo305,The Accidental Demon Slayer,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-16,"My name is Lizzie Brown, and demon slayer wasn't my first career choice. It didn't even crack the list. I had a good thing going as a preschool teacher until my long-lost Granny blew into my life riding a Harley and raving about a demon on my toilet.\n\nWhy did she have to be right?\n\nHe was from the seventh layer of hell, and I killed his ass faster than you can say flush. Now Grandma insists I'm a demon slayer, destined to ride with her geriatric gang of biker witches.\n\nDo I even own a leather jacket?\n\nCrazier still, this new job comes with my own personal protector: Dimitri Kallinikos, a devastatingly hot shape-shifting griffin with beautiful eyes and a not-so-secret plan to seduce me.\n\nI could get on board with that.\n\nBut I can't get too involved because Dimitri needs me to take care of some hellish personal business for him, and I'm not about to let a guy I barely know take me anywhere near the underworld. At least not on the first date. But there's a bigger danger brewing than either of us can imagine-and if I can't stop the rise of Hell on Earth, no one can.",305,0.99,Angie Fox,Mystery/Thriller,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/305.jpg
B08L626591,simple,prince405,The Prince And The Troll,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-16,"A charming everyman and a mysterious something-under-the-bridge cross paths in a short fairy tale by the number one New York Times bestselling author of Eleanor & Park and the Simon Snow series.\n\nIt's fate when a man accidentally drops his phone off the bridge. It's fortune when it's retrieved by a friendly shape sloshing in the muck underneath. From that day forward, as they share a coffee every morning, an unlikely friendship blooms. Considering the reality for the man above, where life seems perfect, and that of the sharp-witted creature below, how forever after can a happy ending be?'",405,1.99,Rainbow Rowell,Fantasy,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/405.jpg
B089P2ZFYC,simple,giza505,The Secret Of Giza,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-16,"What if humanity didn't start on Earth..?\n\nAn incredible discovery deep inside the Great Pyramid, a mysterious signal sent from the Bermuda Triangle, and a ruthless experiment taking place in Area 51: How are they all connected?\n\nWhen Malia Kwan exhibits unusual abilities, government agents show up at her home to apprehend her and her twin brother, Jaden-and all hell breaks loose. After their parents are killed, Jaden and Malia flee into the night, becoming fugitives. Before long, they discover their true identities are tied to the lost city of Atlantis-and to the origins of humanity itself. And now a threat emerges that could wipe out the entire human race-unless Jaden and Malia can stop it!\n\nIf you like fast-paced thrillers with mysteries of historical significance, you'll love The Secret of Giza!""",505,0.99,Ken Warner,Science Fiction,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/505.jpg
B09NKRK457,simple,trayvon106,Trayvon: Ten Years Later,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-15,"Ten years after the tragic killing of her seventeen-year-old son, Trayvon Martin, Sybrina Fulton has become both the unyielding matriarch of a national conversation and one of the most incredible activators of change in our time. While grappling with the ongoing process of making sense of her grief, anger, and cherished memories, she fights every day for justice.\n\nIn this moving essay, Sybrina imparts to this generation and the next the lessons and wisdom she's gained in the past ten years-about life, love, and loss; about bad faith; about what changes have and have not occurred; and about the power of her own voice in the gathering storm of a profoundly divided country. Above all, Sybrina knows what it takes to keep moving forward.",106,1.99,Sybrina Fulton,Biography/Memoir,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/106.jpg
B09SY3M8GL,simple,truck206,Truck Driver,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-15,"He walked into the truck stop diner one rainy night and my life was never the same. The mysterious big rig driver made me feel flustered in ways I barely understood, with his hands. His words. His observant eyes. Now he's telling me that I'm unsafe. That I'm in serious danger, unless I trust him. In all ways. Physically. Emotionally. In the back of his rig, I become his, without exception. But our happy ending could be cut short by the men who want to hurt me. They underestimated what my truck driver would do to keep me safe, though...and come home to me forever.",206,0.99,Jessa Kane,Romance,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/206.jpg
B09HQZDJV5,simple,purpose306,Dark Purpose,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-15,"Everyone has a purpose. Some are just darker than others.\n\nAlways calm, cool, and collected, Savannah PD Detective Charli Cross compensates for her petite five-foot frame with an impenetrable exterior and pragmatic competence. It's an approach that catapulted her to the rank of detective at twenty-three and contributes to her and her partner's unequaled murder clearance rate. But when a bird-watching couple discover the remains of a teenage girl stuffed in a storage container, Charli's composure starts to crack.\n\nNot only is the murder horrifying, it dredges up memories of Charli's best friend. Madeline was only sixteen when her body was found a mere half-mile from the grisly discovery. Add the sadistic sexual component to this recent crime, as well as the location of the body, and Charli fears they are facing the hallmarks of the worst kind of serial killer-one who's organized and thorough. One intent on fulfilling his dark purpose.\n\nCharli wants to stay unemotional. But when more victims are discovered, she is determined to stop the killer before he strikes again.\n\nThis time, it's not just her job. It's personal.",306,1.49,Mary Stone,Mystery/Thriller,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/306.jpg
B07TN65C7B,simple,shadows406,Shadows And Shade,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-15,"When the Elorsin brothers venture onto our estate in search of a mysterious bird, just in time to catch me on the wrong end of my master's temper, they somehow also acquire me.\n\nAcquire, kidnap, rescue - is there a difference?\n\nSure, four of the scariest immortals in existence may actually have saved my life, but blending in as a servant in the Elite training castle that I now call home is almost impossible with these four powerful, dark, and broken men focusing their attention on me - and it's not always good attention.\n\nNot helped when the trickster among them suggests playing a potion-prank on the psychopath currently in line for the throne. He shouldn't be in line for the throne. Pax, aka Scary Kidnapper Number One, should be. But whatever or whoever tore this distant world apart, they did so with enough ferocity to leave Pax in a permanent foul mood - and the others aren't much better.\n\nEither my kidnappers, I mean rescuers, leave me alone - which will mean leaving me to be discovered by a king who has a nasty habit of sucking the life from his servants.\n\nOr they claim me for themselves and protect me from an unstoppable prophecy, a secret slowly decaying the Veil - and each other.\n\nIf you're ever in my shoes, I recommend revenge involving food and the boots of a certain growling alpha male, followed by kicking the nearest dethroned immortal prince in the balls.",406,2.99,Amanda Cashure,Fantasy,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/406.jpg
B098QNLW6D,simple,clap506,Clap Back,1,0,visible,,,,taxable,,1,,,0,0,,,,,0,,,,,,,,,,,,,TRUE,-15,"A past struggle for racial equity could achieve a profound future victory in this audacious short story about technology, hoodoo, and hope by a Nebula Award-winning author.\n\nBurri is a fashion designer and icon with a biochemistry background. Her latest pieces are African inspired and crafted to touch the heart. They enable wearers to absorb nanorobotic memories and recount the stories of Black lives and forgiveness. Wenda doesn't buy it. A protest performance artist, Wenda knows exploitation when she sees it. What she's going to do with Burri's breakthrough technology could, in the right hands, change race relations forever.",506,1.99,Nalo Hopkinson,Science Fiction,https://shopper915963729.wpcomstaging.com/wp-content/uploads/2022/05/506.jpg
